Name,ParentOrg,OrgID,Address
Kenvale College Library,Kenvale College,8590,38 High Street RANDWICK NSW 2031 AUSTRALIA
Kenwick Library,City of Gosnells Libraries,4442,82 Kenwick Road KENWICK WA 6107 AUSTRALIA
Kerang Historical Society Library,Kerang Historical Society,8586,Kerang Historical Museum Riverside Drive KERANG VIC 3579 AUSTRALIA
Kerferd Library,Mentone Girls' Grammar School,6340,11 Mentone Parade MENTONE VIC 3194 AUSTRALIA
Kett Optometry Museum,,336146,Australian College of Optometry Corner Keppel & Cardigan Streets Carlton VIC AUSTRALIA
Kevin J. Curtin & Partners (Architects) Library,Kevin J. Curtin & Partners (Architects) Pty Ltd,2708,Level 2 52 Atchison Street ST LEONARDS NSW 2065 AUSTRALIA
Kew Hebrew Congregation Library,Kew Hebrew Congregation,6780,Norman Smorgan House 53 Walpole Street KEW VIC 3101 AUSTRALIA
Kew Historical Society,,13763,188 High St KEW VIC 3101 AUSTRALIA
Kew Historical Society Library,Kew Historical Society,8562,Civic Drive KEW VIC AUSTRALIA
Kew Library,City of Boroondara Library Service,4031,Cnr Cotham Road and Civic Drive KEW VIC 3101 AUSTRALIA
Kiama Library,South Coast Co-operative Library Service,6152,7 RAILWAY PARADE KIAMA NSW 2533 AUSTRALIA
Kilcoy Library,Somerset Regional Council Libraries,7485,13 Kennedy Street KILCOY QLD 4515 AUSTRALIA
Kilkivan Library,Gympie Regional Libraries,2711,Bligh Street KILKIVAN QLD 4600 AUSTRALIA
Kilmore Historical Society Library,Kilmore Historical Society Inc.,8595,Sydney Road KILMORE VIC 3764 AUSTRALIA
Kilmore Library,Mitchell Shire Library & Information Service,164,12 Sydney Road KILMORE VIC 3764 AUSTRALIA
Kilmore Mechanics Institute and Free Library,Mitchell Shire Council,10894,Kilmore Court House 4 Powlett Street KILMORE VIC 3764 AUSTRALIA
Kilvington Grammar School - McKie Library,Kilvington Grammar School,11518,2 Leila Road ORMOND VIC 3204 AUSTRALIA
Kimba Library,District Council of Kimba,7487,69 West Terrace KIMBA SA 5641 AUSTRALIA
Kimberley Aboriginal Law & Culture Library,Kimberley Aboriginal Law and Culture Centre,9639,Great Northern Highway FITZROY CROSSING WA 6765 AUSTRALIA
Kimberley Land Council,,330082,36 Pembroke Rd BROOME WA 6725 AUSTRALIA
Kincoppal-Rose Bay Senior School Library,Kincoppal Rose Bay,8246,New South Head Road ROSE BAY NSW 2029 AUSTRALIA
Kincumber High School Library,Kincumber High School,10754,Bungoona Road KINCUMBER NSW 2251 AUSTRALIA
Kincumber Library,Central Coast Library Service,69039,Bungoona Road KINCUMBER NSW 2251 AUSTRALIA
Kincumber Public School Library,Kincumber Public School,6791,Avoca Drive KINCUMBER NSW 2251 AUSTRALIA
King's Christian College,,330098,REEDY CREEK QLD 4227 AUSTRALIA
Kinglake Historical Society,,336195,MacMahons Road Kinglake VIC AUSTRALIA
Kinglake Library,Murrindindi Library Service,3663,19 Kinglake Whittlesea Rd KINGLAKE VIC 3763 AUSTRALIA
Kings Cross Library,City of Sydney Library,8808,Level 1 / 50-52 Darlinghurst Road KINGS CROSS NSW 2011 AUSTRALIA
Kingscliff Campus Library,TAFE NSW,2902,Cudgen Road KINGSCLIFF NSW 2487 AUSTRALIA
Kingscliff Library,Richmond-Tweed Regional Library,5166,Turnock Street KINGSCLIFF NSW 2487 AUSTRALIA
Kingston Arts Centre,,338357,979-985 Nepean Hwy MOORABBIN VIC 3189 AUSTRALIA
Kingston Centre Library,Monash Health,9828,400 Warrigal Road CHELTENHAM VIC 3192 AUSTRALIA
Kingston Information & Library Service,Kingston Information and Library Service,7427,94-96 Parkers Road PARKDALE VIC 3195 AUSTRALIA
Kingston Libraries,Kingston Information and Library Service,338238,96 Parkers Road PARKDALE VIC 3195 AUSTRALIA
Kingston Library,Libraries ACT,331897,52 Giles Street KINGSTON ACT 2604 AUSTRALIA
Kingston School Community Library,Kingston Community School,2717,46 East Terrace KINGSTON S/E SA 5275 AUSTRALIA
Kingswood College,,335277,355 Station Street Box Hill VIC 3128 AUSTRALIA
Kippax Library,Libraries ACT,237637,Kippax Holt Canberra ACT AUSTRALIA
Knowledge Centre,Chartered Accountants ANZ,7883,33 Erskine Street SYDNEY NSW 2000 AUSTRALIA
Knowledge Centre,Queensland Rail,8057,"1st Floor, Rail Centre 1 305 Edward Street BRISBANE QLD 4000 AUSTRALIA"
Knowledge Centre,CSL Limited,6068,45 Poplar Road PARKVILLE VIC 3052 AUSTRALIA
Knowledge Centre,City of Gosnells Libraries,4434,"The Agonis, 2232D Albany Highway, GOSNELLS WA 6110 AUSTRALIA"
Knowledge Centre ADANSW,Australian Dental Association - New South Wales Branch,9532,Lvl 1 / 1 Atchison St. ST LEONARDS NSW 2065 AUSTRALIA
Knowledge Group,The Boston Consulting Group,10781,Level 28 Chifley Tower 2 Chifley Square SYDNEY NSW 2000 AUSTRALIA
Knowledge Management Brisbane,King & Wood Mallesons,3494,"Level 30, Waterfront Place 1 Eagle Street BRISBANE QLD 4000 AUSTRALIA"
Knowledge Management Canberra,King & Wood Mallesons,11032,"Level 5, NICTA Building B 7 London Curcuit CANBERRA ACT 2600 AUSTRALIA"
Knowledge Management Melbourne,King & Wood Mallesons,7093,Level 50 600 Bourke Street MELBOURNE VIC 3000 AUSTRALIA
Knowledge Management Perth,King & Wood Mallesons,7092,"Level 10, Central Park 152 St Georges Terrace PERTH WA 6000 AUSTRALIA"
Knowledge Management Sydney,King & Wood Mallesons,7089,"Level 56, Governor Phillip Tower 1 Farrer Place SYDNEY NSW 2000 AUSTRALIA"
Knox Grammar School Library,Knox Grammar School,17116,Pacific Highway WAHROONGA NSW 2076 AUSTRALIA
Knox Historical Society Resource Centre,Knox Historical Society Inc.,7701,3 Olivebank Road FERN TREE GULLY VIC 3156 AUSTRALIA
Knox Library,Your Library Limited,84137,425 Burwood Hwy Wantirna South VIC 3152 AUSTRALIA
Knox Outreach,Your Library Limited,6819,c/- Eastern Regional Libraries Corporation 1350 Ferntree Gully Road SCORESBY VIC 3179 AUSTRALIA
Kogarah Library and Service Centre,Georges River Council,7062,Corner Queens Road and Dora Street HURSTVILLE NSW 2220 AUSTRALIA
Kojonup Library,Shire of Kojonup,2719,93 Albany Highway KOJONUP WA 6395 AUSTRALIA
Kondinin Library,Kondinin Shire Council Libraries,7494,Gordon Street KONDININ WA 6367 AUSTRALIA
Koorda Public Library,Koorda Shire Council,7495,Corner of Allenby and Haig Streets KOORDA WA 6475 AUSTRALIA
Kootingal Branch Library,Central Northern Regional Library,6744,Denman Avenue KOOTINGAL NSW 2352 AUSTRALIA
Koroit & District Historical Society Library,Koroit and District Historical Society Inc.,8592,Victoria Park High Street KOROIT VIC 3282 AUSTRALIA
Koroit Library,Corangamite Moyne Library Service,3605,"Old Borough Chambers, High Street KOROIT VIC 3282 AUSTRALIA"
Korumburra Library,Myli - My Community Library,7851,165 Commercial Street KORUMBURRA VIC 3950 AUSTRALIA
Korumburra and District Historical Society Library,Korumburra & District Historical Society Inc.,8467,King Street KORUMBURRA VIC 3950 AUSTRALIA
Kotara High School Library,Kotara High School,3957,Lexington Parade ADAMSTOWN HEIGHTS NSW 2289 AUSTRALIA
Kowanyama Community Library,Kowanyama District Council,7497,Kowanyama Community Education Centre KOWANYAMA QLD 4871 AUSTRALIA
Kraft Foods Library,Kraft Foods Limited,1214,162 Salmon Street PORT MELBOURNE VIC 3207 AUSTRALIA
Ku-ring-gai Library,Ku-ring-gai Council Libraries,7500,799 Pacific Highway GORDON NSW 2072 AUSTRALIA
Kukerin Library,Dumbleyung Shire Council Libraries,9644,Manser Street KUKERIN WA 6352 AUSTRALIA
Kulin Public Library,Shire of Kulin,7498,Johnson Street KULIN WA 6365 AUSTRALIA
Kununurra Community Library,Shire of Wyndham-East Kimberley Libraries,4256,Mangaloo Street KUNUNURRA WA 6743 AUSTRALIA
Kupungarri Community Library,Shire of Derby-West Kimberley Public Libraries,120964,Kupungurri Community MT BARNETT WA 6728 AUSTRALIA
Kuranda Library,Mareeba Shire Council,6252,18-22 Arara Street KURANDA QLD 4881 AUSTRALIA
"Kuring-Gai Campus, George Muir Library",University Library,8110,Eton Road LINDFIELD NSW 2070 AUSTRALIA
Kurrajong Early Intervention Service,,54062,2 Grampian Place WAGGA WAGGA NSW 2650 AUSTRALIA
Kurrajong-Comleroy Historical Society Inc,,336737,PO Box 174 Kurmond NSW 2757 AUSTRALIA
Kurrambee Special School Library,Kurrambee Special School,10787,Werrington Road WERRINGTON NSW 2747 AUSTRALIA
Kurri Kurri Library,Cessnock City Library,4959,253 Lang Street (Cnr. Allworth St) KURRI KURRI NSW 2327 AUSTRALIA
Kurri Kurri TAFE Campus Library,TAFE NSW,3886,McLeod Road KURRI KURRI NSW 2327 AUSTRALIA
Kvaerner Library,Kvaerner,10932,"Level 20, QV1 Building 250 St George's Terrace PERTH WA 6000 AUSTRALIA"
Kwinana Public Library,City of Kwinana,7503,Darius Wells Library and Resource Centre Cnr Robbos Way and Chisham Avenue KWINANA WA 6167 AUSTRALIA
Kyabram Library and Community Hub,Campaspe Regional Library,6093,19 Lake Road KYABRAM VIC 3620 AUSTRALIA
Kyneton Library,Goldfields Library Corporation,8727,3 BAYNTON ST KYNETON VIC 3444 AUSTRALIA
Kyneton Mechanics' Institute,,152917,61-81 Mollison Street KYNETON VIC 3444 AUSTRALIA
Kyneton RSL Sub Branch,,336186,37-39 Mollison Street corner Donnithorne Street Kyneton VIC AUSTRALIA
Kyogle Library,Richmond-Upper Clarence Regional Library,4186,Stratheden Street KYOGLE NSW 2474 AUSTRALIA
L. Place Memorial Library,Dairy Farmers,9647,Birnie Avenue LIDCOMBE NSW 2141 AUSTRALIA
L.G. Grulke Library,Queensland Teachers' Union,7439,"1st Floor, 21 Graham Street MILTON QLD 4064 AUSTRALIA"
LDS Family History Centre Canberra,The Church of Jesus Christ of Latter-day Saints,5951,Corner of Brigalow & Wattle Streets LYNEHAM ACT 2602 AUSTRALIA
LEK Library,L.E.K. Consulting Pty Ltd,7054,Level 36 Aurora Place 88 Phillip Street SYDNEY NSW 2000 AUSTRALIA
LEK Library Melbourne,L.E.K. Consulting Pty Ltd,328617,Level 35 Freshwater Place 2 Southbank Blvd SOUTHBANK VIC 3006 AUSTRALIA
LHS Library,Launceston Horticultural Society Inc.,5457,"C/- Launceston City Council, Department of Parks and Recreation Lamont Street INVERMANY TAS AUSTRALIA"
LJBC Library,Lake Joondalup Baptist College,135204,Kennedya Drive Joondalup WA 6027 AUSTRALIA
LOTE Library,QLD Department of Education & Training,7736,Cnr Montague & Ferry Roads West End BRISBANE QLD 4101 AUSTRALIA
LT Starr Memorial Library,Armidale Regional Council Libraries,339997,158 Bradley Street GUYRA NSW 2365 AUSTRALIA
La Trobe University Library,La Trobe University,9187,Borchardt Library Plenty Road BUNDOORA VIC 3086 AUSTRALIA
Labassa Library,Labassa (Historic House),6766,2 Manor Grove NORTH CAULFIELD VIC 3161 AUSTRALIA
Labor Council of NSW Library,Labor Council of NSW,6404,"Level 10, 377 Sussex Street SYDNEY NSW 2000 AUSTRALIA"
Lachlan Shire Library Service,Lachlan Shire Council,4637,130 Bathurst Street CONDOBOLIN NSW 2877 AUSTRALIA
Lactation Resource Centre,Australian Breastfeeding Association,2930,1818-1822 Malvern Road EAST MALVERN VIC 3145 AUSTRALIA
Lade Memorial Library,University of Tasmania,4037,48 Liverpool Street HOBART TAS 7000 AUSTRALIA
Lady Cilento Parent Resource and Toy Library,Creche and Kindergarten Association of Queensland,4328,2 Baty Street St Lucia QLD 4064 AUSTRALIA
Lady Davidson Private Hospital,Healthscope Library Service,7058,Lady Davidson Private Hospital 434 Bobbin Head Road NORTH TURRAMURRA NSW 2074 AUSTRALIA
Lady Gowrie Resource Centre,,2730,36 Newry Street NORTH CARLTON VIC 3054 AUSTRALIA
Lady Persia Research Library,Great Lakes Historical Cooperative Society Ltd,6231,Capel Street TUNCURRY NSW 2428 AUSTRALIA
Laidley Library,Lockyer Valley Libraries,4644,9 Spicer Street LAIDLEY QLD 4341 AUSTRALIA
Lajamanu School Library,Lajamanu School,4983,Lajamanu Aboriginal Reserve LAJAMANU NT 0852 AUSTRALIA
Lake Bolac & District Historical Society,,336200,P.O. Box 12 Lake Bolac VIC AUSTRALIA
Lake Bolac Library,Central Highlands Libraries,336941,2110 Glenelg Hwy Lake Bolac VIC 3351 AUSTRALIA
Lake Cargelligo Library,Lachlan Shire Library Service,4638,35A Foster Street LAKE CARGELLIGO NSW 2672 AUSTRALIA
Lake Ginninderra College Library,Lake Ginninderra College,7831,Emu Bank BELCONNEN ACT 2616 AUSTRALIA
"Lake Grace Public Library, Resource and Telecentre",Shire of Lake Grace Libraries,120965,"Lake Grace Public Library, Resource and Telecentre Absolon Street Lake Grace WA 6353 AUSTRALIA"
Lake Haven Library & Council Services,Central Coast Library Service,7138,Lakehaven Shopping Centre Goobarabah Road LAKE HAVEN NSW 2263 AUSTRALIA
Lake Joondalup Baptist College,,135203,Kennedya Drive JOONDALUP WA 6027 AUSTRALIA
Lake King Public Library,Shire of Lake Grace Libraries,9648,C/o Post Office LAKE KING WA 6356 AUSTRALIA
Lake Mac Libraries,,9485,139 Main Road SPEERS POINT NSW 2284 AUSTRALIA
Lake Munmorah Public School Library,Lake Munmorah Public School,9408,Carters Rd LAKE MUNMORAH NSW 2259 AUSTRALIA
Lake View Library,Lake View (Historic House),6767,Off Hume Highway CHILTERN VIC 3683 AUSTRALIA
Lakeland Library,Cook Shire Council Libraries,9649,Via Cairns Mail Centre CAIRNS QLD 4070 AUSTRALIA
Lakelands Library and Community Centre,City of Mandurah Libraries,339177,49 Banksiadale Gate LAKELANDS WA 6180 AUSTRALIA
Lakemba Library,Canterbury Bankstown Library Service,8037,The Boulevard LAKEMBA NSW 2195 AUSTRALIA
Lakemba Public School Library,Lakemba Public School,9411,Alice Street LAKEMBA NSW 2195 AUSTRALIA
Lakes Entrance Family History Society Resource Centre Inc,Lakes Entrance Family History Society (Inc),3976,1 Marine Parade (rear of Lakes Entrance Tourist Information Centre LAKES ENTRANCE VIC 3909 AUSTRALIA
Lakes Entrance History Centre and Museum Library,The Lakes Entrance Regional Historical Society,2089,4 Marine Parade LAKES ENTRANCE VIC 3909 AUSTRALIA
Lakes Entrance Library,East Gippsland Shire Library,6482,18 Mechanics Street LAKES ENTRANCE VIC 3909 AUSTRALIA
Lalor Library,Yarra Plenty Regional Library,6805,May Road LALOR VIC 3075 AUSTRALIA
Lalor Park Library,Blacktown City Libraries,5689,Freeman Street LALOR PARK NSW 2147 AUSTRALIA
Lambton Library,Newcastle Region Libraries,3827,Corner of Morehead & Elder Streets LAMBTON NSW 2299 AUSTRALIA
Lameroo School Community Library,Mallee Libraries,4622,1 Bews Terrace LAMEROO SA 5302 AUSTRALIA
Lamm Jewish Library of Australia,Zionism Victoria,334137,304 Hawthorn Road CAULFIELD SOUTH VIC 3162 AUSTRALIA
Lancelin Library,Shire of Gingin Libraries,4344,Shop 1/107 Gingin Road LANCELIN WA 6044 AUSTRALIA
Land & Environment Court Library,"NSW Department of Communities and Justice, Law Courts Library Services",8964,Level 4 225 Maquarie Street SYDNEY NSW 2000 AUSTRALIA
Land and Property Information,,9132,346 Panorama Ave BATHURST NSW 2795 AUSTRALIA
Land of the Beardies History House Museum & Archival Centre Library,Land of the Beardies History House Museum & Archival Centre,3985,Corner of West Avenue & Ferguson Street GLEN INNES NSW 2370 AUSTRALIA
Lane Cove Library,Lane Cove Municipal Council,9192,Library Walk LANE COVE NSW 2066 AUSTRALIA
Langi Morgala Museum,,336130,48 Queen Street Ararat VIC AUSTRALIA
Languages and Multicultural Education Resource Centre,,331497,"Level 1, 189 Faraday Street CARLTON VIC 3053 AUSTRALIA"
Languages and Multicultural Resource Centre,Languages and Multicultural Centre,11252,East Torrens PS Campus 12 Robson Road HECTORVILLE SA 5073 AUSTRALIA
Languages and Multicultural Resource Centre,SA Department of Education and Children's Services,5699,Robson Road HECTORVILLE SA 5073 AUSTRALIA
Lanyon High School Library,Lanyon High School,10992,Heidelberg Street CONDOR ACT 2906 AUSTRALIA
Laperouse Museum Library,Laperouse Museum,8459,Botany Bay National Park Anzac Parade LAPEROUSE NSW 2036 AUSTRALIA
Lara RSL Sub Branch,,336122,McClelland Ave (next to Railway Station Lara VIC AUSTRALIA
Latham Library,Perenjori Shire Council Libraries,3735,CWA building Britt Street LATHAM WA 6616 AUSTRALIA
Latham Primary School Library,Latham Primary School,10811,O'Loghlen Street LATHAM ACT 2615 AUSTRALIA
Latrobe Regional Gallery Library,Latrobe Regional Gallery,3630,138 Commercial Rd MORWELL VIC 3840 AUSTRALIA
Latvian Library,Latvian House - Melbourne,11449,3 Dickens Street ELWOOD VIC 3184 AUSTRALIA
Launceston Branch Library,Tasmanian Family History Society Inc,7672,45 Tamar Street Launceston TAS 7248 AUSTRALIA
Launceston Campus Library,University of Tasmania,2280,Newnham Drive LAUNCESTON TAS 7248 AUSTRALIA
Launceston City Council Resource Centre,Launceston City Council,1966,Launceston City Council 18-28 St John Street LAUNCESTON TAS 7250 AUSTRALIA
Launceston College Library,Launceston College,6359,107-119 Paterson Street LAUNCESTON TAS 7250 AUSTRALIA
Launceston Law Library,Tasmanian Law Library: Andrew Inglis Clark,5778,Staffordshire House 56 Charles Street LAUNCESTON TAS 7250 AUSTRALIA
Launceston Library,TasTAFE Libraries,6211,"1st Floor, Corner of Charles & Frankland Streets LAUNCESTON TAS 7250 AUSTRALIA"
Launceston Mechanics Institute,,338157,C/- 5 Ecclestone Road RIVERSIDE TAS 7250 AUSTRALIA
Laura Library,Cook Shire Council Libraries,3478,Laura Library LAURA QLD AUSTRALIA
Laureate Libraries Australia,Think: Education Group,336037,35 Victoria Street FITZROY VIC 3065 AUSTRALIA
Laurie Luxmoore Library,Victorian Canine Association Inc,4136,K.C.C. Park 655 Westernport Highway Skye VIC 3977 AUSTRALIA
Laurieton Library,Port Macquarie-Hastings Library Services,8311,9 Laurie Street LAURIETON NSW 2443 AUSTRALIA
Laverton Public Library,Shire of Laverton,2739,Shop 4 Laver Place LAVERTON WA 6440 AUSTRALIA
Lavington Library,AlburyCity libraries,335577,"Ground Floor, Northpoint Tower 366 Griffith Road LAVINGTON NSW 2641 AUSTRALIA"
Law Courts Library,"NSW Department of Communities and Justice, Law Courts Library Services",9291,"Level 15, Law Courts Building 184 Phillip Street SYDNEY NSW 2000 AUSTRALIA"
Law Institute of Victoria Library,Law Institute of Victoria,1226,Lower Ground Floor 470 Bourke Street MELBOURNE VIC 3000 AUSTRALIA
Law Library,Australian National University Library,6721,Law Library Building 5 Australian National University CANBERRA ACT 0200 AUSTRALIA
Law Library,University of Adelaide,8985,North Terrace ADELAIDE SA 5005 AUSTRALIA
Law Library,Ombudsman (Tas),992,23 Kirksway Pl HOBART TAS 7000 AUSTRALIA
Law Library,University of Tasmania,6416,Law Building University of Tasmania Sandy Bay TAS 7005 AUSTRALIA
Law Library,Monash University Library,7405,"Building 12, Clayton Campus Welington Road MONASH UNIVERSITY VIC 3800 AUSTRALIA"
Law Library,The University of Melbourne Library,4764,Law Library 185 Pelham Street CARLTON VIC 3010 AUSTRALIA
Law Library,University of Western Australia Library,9471,Hackett Drive CRAWLEY WA 6009 AUSTRALIA
Law Society of NSW Library,Law Society of New South Wales,484,170 Phillip Street SYDNEY NSW 2000 AUSTRALIA
Law and Justice Foundation of NSW Library,Law and Justice Foundation of New South Wales,248677,"Level 14, 130 Pitt Street SYDNEY NSW 2000 AUSTRALIA"
Law and Justice Journal,Victoria University Library,336018,"College of Law and Justice, Victoria University Melbourne VIC 8001 AUSTRALIA"
Lawson Branch Library,Blue Mountains City Council,9233,Corner of San Jose Avenue & Loftus Street LAWSON NSW 2783 AUSTRALIA
Leaders Institute Pty Ltd,,341960,76 Park Road WOOLLOONGABBA QLD 4102 AUSTRALIA
Learmonth and District Historical Society,,335959,326 High Street Learmonth VIC AUSTRALIA
Learning & Development Centre,WA Department for Child Protection,330079,363 Oxford Street MOUNT HAWTHORN WA 6016 AUSTRALIA
Learning & Engagement Centre Townsville,QLD Department of Education & Training,6278,26 Burt Street MUNDINGBURRA QLD 4810 AUSTRALIA
Learning Centre,Kormilda College,3559,Berrimah Road BERRIMAH NT 0828 AUSTRALIA
Learning Resource Centre,Monash Primary School,10835,Corlette Crescent MONASH ACT 2904 AUSTRALIA
Learning Resource Centre,Loreto Normanhurst,4554,Pennant Hills Road NORMANHURST NSW 2076 AUSTRALIA
Learning Resource Centre,Westminster School,8215,Alison Avenue MARION SA 5043 AUSTRALIA
Learning Resource Centre,Kardinia International College,327858,PO Box 17 Geelong VIC 3220 AUSTRALIA
Learning Resource Centre,South Regional TAFE,3764,Anson Road ALBANY WA 6330 AUSTRALIA
Learning Resource Centre: Bunbury Library,South Regional TAFE,341865,930 Robertson Drive BUNBURY WA 6230 AUSTRALIA
Learning Resources Centre,"Loreto, Mandeville Hall Toorak",9258,10 Mandeville Crescent TOORAK VIC 3142 AUSTRALIA
Lederderg Library,Central Highlands Libraries,3589,205 Main Street BACCHUS MARSH VIC 3340 AUSTRALIA
Leederville Campus Library,North Metropolitan TAFE,6434,Richmond Street LEEDERVILLE WA 6007 AUSTRALIA
Leederville Toy Library,,11813,99 Loftus St LEEDERVILLE WA 6007 AUSTRALIA
Leeman Public Library,Coorow Public Library and Information Service,3727,20 Morcombe Road LEEMAN WA 6514 AUSTRALIA
Leeming Senior High School Library,Leeming Senior High School,902,Aulberry Parade LEEMING WA 6149 AUSTRALIA
Leeper and Mollison Library,Trinity College,1416,"Evan Burge Building, Trinity College, University of Melbourne 100 Royal Parade PARKVILLE VIC 3052 AUSTRALIA"
Leeton Campus Library,TAFE NSW,5861,Palm Avenue LEETON NSW 2705 AUSTRALIA
Leeton Library,Riverina Regional Library,9127,Sycamore Street LEETON NSW 2705 AUSTRALIA
Legal Aid Commission (ACT) Library,,9502,4 Mort Street CANBERRA CITY ACT 2601 AUSTRALIA
Legal Aid NSW Library,,7057,323 Castlereagh Street SYDNEY NSW 2000 AUSTRALIA
Legal Aid Queensland Library Services,,8285,44 Herschel Street BRISBANE QLD 4000 AUSTRALIA
Legal Aid Western Australia Library,,1347,32 St Georges Terrace PERTH WA 6000 AUSTRALIA
Legal Department Library,Commonwealth Bank of Australia,4190,"11th Level, Bank House 309 George Street SYDNEY NSW 1155 AUSTRALIA"
Legal Library,Rio Tinto Services Ltd,5533,"34th floor, 120 Collins Street MELBOURNE VIC 3000 AUSTRALIA"
Legal Opinions,Australian Government Solicitor,335857,ACT AUSTRALIA
Leigh Creek Community Library,Leigh Creek School,7509,Blackoak Drive LEIGH CREEK SA 5731 AUSTRALIA
Leinster Community Library,BHP Billiton;WA Department of Education,7512,Gledden Drive LEINSTER WA 6437 AUSTRALIA
Leinster-Mt Keith Operations Library,Leinster-Mt Keith Operations,9660,LEINSTER WA 6437 AUSTRALIA
Leitchville Library,Gannawarra Library Service,3623,50 King Albert Avenue LEITCHVILLE VIC 3567 AUSTRALIA
Lending Library,Workers' Educational Association Sydney,4350,WEA House 72 Bathurst Street SYDNEY NSW 2000 AUSTRALIA
Lending Library of Hobart Branch,The Theosophical Society in Australia,326520,13 Goulburn Street Hobart TAS 7000 AUSTRALIA
Lending Library of Launceston Lodge,The Theosophical Society in Australia,326521,54 Elizabeth Street Launceston TAS 7250 AUSTRALIA
Lending Library of The Brisbane Theosophical Society,The Theosophical Society in Australia,326519,355 Wickham Terrace Brisbane QLD 4000 AUSTRALIA
Lennox Head Library,Richmond-Tweed Regional Library,4200,Mackney Lane LENNOX HEAD NSW 2478 AUSTRALIA
Lenton Parr Library,The University of Melbourne Library,337281,"Level 1, Hub Building Southbank Campus UNIVERSITY OF MELBOURNE VIC 3010 AUSTRALIA"
Leo Cussen Centre for Law Library,Leo Cussen Centre for Law,335597,"Librarian, Leo Cussen Centre for Law 360 Little Bourke Street Melbourne VIC 3000 AUSTRALIA"
Leon Morris Library,Ridley College,1415,Ridley College 170 The Avenue PARKVILLE VIC 3052 AUSTRALIA
Leongatha Library,Myli - My Community Library,7852,2 Smith Street LEONGATHA VIC 3953 AUSTRALIA
Leonora Library,Shire of Leonora,7514,Tower Street LEONORA WA 6438 AUSTRALIA
Lesmurdie Community Library,City of Kalamunda Libraries,4187,Lesmurdie Senior High School Reid Road LESMURDIE WA 6076 AUSTRALIA
Lesmurdie School and Community Library,Lesmurdie Senior High School,9183,Reid Road LESMURDIE WA 6076 AUSTRALIA
Lewisham Sports Medicine Clinic Library,Lewisham Sports Medicine Clinic,470,1-7 West Street PETERSHAM NSW 2049 AUSTRALIA
LexisNexis Library,Reed International Books Australia Pty Limited,3031,"Level 12, Tower 2, 475-95 Victoria Avenue CHATSWOOD NSW 2067 AUSTRALIA"
Libraries ACT,,12005,Please consult one of our branch entries Canberra ACT 2600 AUSTRALIA
Libraries Australia Database Management,Libraries Australia Administration,334657,Libraries Australia National Library of Australia CANBERRA ACT 2600 AUSTRALIA
Libraries Tasmania,,9041,Libraries Tasmania 91 Murray Street HOBART TAS 7000 AUSTRALIA
Library,Commonwealth Director of Public Prosecutions,9494,28 Sydney Avenue FORREST ACT 2600 AUSTRALIA
Library,Kingsford Smith School,10798,100 Starke St Holt ACT 2615 AUSTRALIA
Library,Orana Steiner School,11213,Orana School Unwin Place WESTON CREEK ACT 2611 AUSTRALIA
Library,Pig Research and Development Corporation,5590,"3rd Floor, Industry House 10 National Circuit BARTON ACT 2600 AUSTRALIA"
Library,Australian Prudential Regulation Authority,247780,Level 12 1 Martin Place SYDNEY NSW 2000 AUSTRALIA
Library,Kaplan Professional,128338,"L3 NAB House, 255 George Street Sydney NSW 2000 AUSTRALIA"
Library,MacLeay College,1719,"Level 1, 169-183 Liverpool St SYDNEY NSW 2000 AUSTRALIA"
Library,Top Education Institute,327918,"Suite 16004, Bay 16 Australian Technology Park Eveleigh NSW 2015 AUSTRALIA"
Library,Western Sydney University,108951,Building T Second Avenue KINGSWOOD NSW 2747 AUSTRALIA
Library,Dementia Australia (Qld),6224,7 Eveleigh Street WOOLOOWIN QLD 4030 AUSTRALIA
Library,Parmalat Australia Limited,3020,Level 5 35 Boundary St SOUTH BRISBANE QLD 4101 AUSTRALIA
Library,Santos Ltd,327217,Level 22 32 Turbot Street Brisbane QLD 4000 AUSTRALIA
Library,Southern Cross Bioethics Institute,9333,The Pines 1E/336 Marion Road NORTH PLYMPTON SA 5037 AUSTRALIA
Library,Australian Centre for Grief and Bereavement,16431,McCulloch House Monash Medical Centre CLAYTON VIC 3168 AUSTRALIA
Library,Carlton & United Breweries Ltd,9695,Carlton & United Breweries ltd 4 - 6 Southampton Crescent Abbotsford VIC 3067 AUSTRALIA
Library,Dairy Australia,9148,"Level 3, HWT Tower 40 City Road SOUTHBANK VIC 3006 AUSTRALIA"
Library,Ecowise Environmental (Victoria),3419,22 Dalmore Drive SCORESBY VIC 3179 AUSTRALIA
Library,Fair Work Commission,3640,Level 8 11 Exhibition St MELBOURNE VIC 3000 AUSTRALIA
Library,Goulburn Valley Health,7408,Graham Street SHEPPARTON VIC 3630 AUSTRALIA
Library,Maurice Blackburn Lawyers,326577,"Level 10, 456 Lonsdale St MELBOURNE VIC 3000 AUSTRALIA"
Library,Napoleons & District Historical Society Inc,2064,Colac Rd CAMBRIAN HILL VIC 3352 AUSTRALIA
Library,South East Water,209943,20 Corporate Drive MOORABBIN VIC 3189 AUSTRALIA
Library,Sustainability Victoria,23436,"Level 28, Urban Workshop 50 Lonsdale Street MELBOURNE VIC 3000 AUSTRALIA"
Library,Banksia Grove Catholic Primary,328478,6 Kurrajong Boulevarde BanksiaGrove WA 6031 AUSTRALIA
